x,y,z,plane,x_um,y_um,z_um
4366,1543,1,2,4383.464,1549.172,6.0
4363,1549,1,2,4380.452,1555.196,6.0
4319,1557,1,2,4336.276,1563.228,6.0
4340,1568,1,2,4357.36,1574.272,6.0
4298,1574,4,5,4315.192,1580.296,24.0
4165,1606,4,5,4181.66,1612.424,24.0
4285,1597,1,2,4302.14,1603.388,6.0
4217,1609,3,4,4233.868,1615.436,18.0
4262,1604,1,2,4279.048,1610.416,6.0
4184,1619,1,2,4200.736,1625.476,6.0
4175,1627,3,4,4191.7,1633.508,18.0
4195,1626,2,3,4211.78,1632.504,12.0
4222,1627,4,5,4238.888,1633.508,24.0
4120,1632,2,3,4136.48,1638.528,12.0
4141,1639,4,5,4157.564,1645.556,24.0
4176,1640,1,2,4192.704,1646.56,6.0
4203,1644,3,4,4219.812,1650.576,18.0
4125,1667,4,5,4141.5,1673.668,24.0
4105,1652,4,5,4121.42,1658.608,24.0
4070,1662,1,2,4086.28,1668.648,6.0
4148,1669,4,5,4164.592,1675.676,24.0
4064,1670,2,3,4080.256,1676.68,12.0
4172,1671,1,2,4188.688,1677.684,6.0
4096,1681,4,5,4112.384,1687.724,24.0
4070,1689,1,2,4086.28,1695.756,6.0
4059,1710,4,5,4075.236,1716.84,24.0
4030,1700,3,4,4046.12,1706.8,18.0
4135,1696,1,2,4151.54,1702.784,6.0
4055,1711,1,2,4071.22,1717.844,6.0
4122,1715,3,4,4138.488,1721.86,18.0
4079,1724,4,5,4095.316,1730.896,24.0
4033,1752,3,4,4049.132,1759.008,18.0
4002,1750,3,4,4018.008,1757.0,18.0
4064,1739,1,2,4080.256,1745.956,6.0
4158,1765,1,2,4174.632,1772.06,6.0
4003,1770,2,3,4019.012,1777.08,12.0
4022,1783,1,2,4038.088,1790.132,6.0
3987,1781,1,2,4002.948,1788.124,6.0
4010,1782,1,2,4026.04,1789.128,6.0
3974,1787,4,5,3989.896,1794.148,24.0
4045,1790,3,4,4061.18,1797.16,18.0
3871,1799,1,2,3886.484,1806.196,6.0
3984,1798,3,4,3999.936,1805.192,18.0
4025,1803,1,2,4041.1,1810.212,6.0
4049,1804,2,3,4065.196,1811.216,12.0
4013,1808,4,5,4029.052,1815.232,24.0
3993,1822,5,6,4008.972,1829.288,30.0
4024,1814,1,2,4040.096,1821.256,6.0
3963,1840,4,5,3978.852,1847.36,24.0
4014,1824,2,3,4030.056,1831.296,12.0
4069,1823,1,2,4085.276,1830.292,6.0
3862,1850,3,4,3877.448,1857.4,18.0
3849,1837,2,3,3864.396,1844.348,12.0
4001,1833,2,3,4017.004,1840.332,12.0
3721,1869,3,4,3735.884,1876.476,18.0
3897,1849,1,2,3912.588,1856.396,6.0
3818,1853,1,2,3833.272,1860.412,6.0
3830,1854,4,5,3845.32,1861.416,24.0
3944,1857,1,2,3959.776,1864.428,6.0
3966,1865,1,2,3981.864,1872.46,6.0
3929,1862,1,2,3944.716,1869.448,6.0
3703,2254,4,5,3717.812,2263.016,24.0
3739,1875,2,3,3753.956,1882.5,12.0
3759,1875,1,2,3774.036,1882.5,6.0
3783,1879,1,2,3798.132,1886.516,6.0
4046,1877,1,2,4062.184,1884.508,6.0
3812,1878,1,2,3827.248,1885.512,6.0
3945,1882,1,2,3960.78,1889.528,6.0
3798,1884,1,2,3813.192,1891.536,6.0
3254,1886,1,2,3267.016,1893.544,6.0
3763,1891,3,4,3778.052,1898.564,18.0
3925,1892,3,4,3940.7,1899.568,18.0
4037,1889,2,3,4053.148,1896.556,12.0
3409,1889,1,2,3422.636,1896.556,6.0
3418,1901,4,5,3431.672,1908.604,24.0
3240,1890,1,2,3252.96,1897.56,6.0
3432,1890,1,2,3445.728,1897.56,6.0
3697,1890,1,2,3711.788,1897.56,6.0
3813,1891,1,2,3828.252,1898.564,6.0
3725,1894,3,4,3739.9,1901.576,18.0
3477,1894,2,3,3490.908,1901.576,12.0
3586,1897,3,4,3600.344,1904.588,18.0
3647,1904,4,5,3661.588,1911.616,24.0
3352,1900,4,5,3365.408,1907.6,24.0
3747,1897,2,3,3761.988,1904.588,12.0
3685,1899,1,2,3699.7400000000002,1906.596,6.0
3993,1897,1,2,4008.972,1904.588,6.0
3455,1897,3,4,3468.82,1904.588,18.0
3524,1904,3,4,3538.096,1911.616,18.0
3833,1908,3,4,3848.332,1915.632,18.0
3755,1902,1,2,3770.02,1909.608,6.0
4010,1906,1,2,4026.04,1913.624,6.0
3707,1905,1,2,3721.828,1912.6200000000001,6.0
3463,1912,4,5,3476.852,1919.648,24.0
3574,1908,1,2,3588.296,1915.632,6.0
3490,1912,2,3,3503.96,1919.648,12.0
3666,1916,3,4,3680.664,1923.664,18.0
3529,1919,3,4,3543.116,1926.676,18.0
3764,1913,2,3,3779.056,1920.652,12.0
3431,1915,1,2,3444.724,1922.66,6.0
3695,1920,4,5,3709.78,1927.68,24.0
3370,1917,1,2,3383.48,1924.6680000000001,6.0
3634,1919,2,3,3648.536,1926.676,12.0
3478,1917,2,3,3491.912,1924.6680000000001,12.0
3556,1919,1,2,3570.224,1926.676,6.0
3735,1918,2,3,3749.94,1925.672,12.0
3567,1922,2,3,3581.268,1929.688,12.0
3388,1924,1,2,3401.552,1931.696,6.0
