cellfinder_index,cf_x_um,cf_y_um,cf_z_um,nearest_pipeline_index,pipeline_x_um,pipeline_y_um,pipeline_z_um,nearest_distance_um,mutual_match,matched_within_10um,distance_group
0,4383.464,1549.172,6.0,3771,4281.056,1678.688,18.0,165.547,False,False,over_20um
1,4380.452,1555.196,6.0,3771,4281.056,1678.688,18.0,158.9775,False,False,over_20um
2,4336.276,1563.228,6.0,3771,4281.056,1678.688,18.0,128.5467,False,False,over_20um
3,4357.36,1574.272,6.0,3771,4281.056,1678.688,18.0,129.8807,False,False,over_20um
4,4315.192,1580.296,24.0,3771,4281.056,1678.688,18.0,104.318,False,False,over_20um
5,4181.66,1612.424,24.0,3770,4151.54,1651.58,18.0,49.7635,False,False,over_20um
6,4302.14,1603.388,6.0,3771,4281.056,1678.688,18.0,79.1115,False,False,over_20um
7,4233.868,1615.436,18.0,3771,4281.056,1678.688,18.0,78.9147,False,False,over_20um
8,4279.048,1610.416,6.0,3771,4281.056,1678.688,18.0,69.3477,False,False,over_20um
9,4200.736,1625.476,6.0,3770,4151.54,1651.58,18.0,56.9707,False,False,over_20um
10,4191.7,1633.508,18.0,3770,4151.54,1651.58,18.0,44.0389,False,False,over_20um
11,4211.78,1632.504,12.0,3770,4151.54,1651.58,18.0,63.4724,False,False,over_20um
12,4238.888,1633.508,24.0,3771,4281.056,1678.688,18.0,62.0916,False,False,over_20um
13,4136.48,1638.528,12.0,3770,4151.54,1651.58,18.0,20.8125,False,False,over_20um
14,4157.564,1645.556,24.0,3770,4151.54,1651.58,18.0,10.42,True,False,10-20um
15,4192.704,1646.56,6.0,3770,4151.54,1651.58,18.0,43.1703,False,False,over_20um
16,4219.812,1650.576,18.0,3771,4281.056,1678.688,18.0,67.3878,False,False,over_20um
17,4141.5,1673.668,24.0,5019,4140.496,1651.58,30.0,22.9104,False,False,over_20um
18,4121.42,1658.608,24.0,5019,4140.496,1651.58,30.0,21.1964,False,False,over_20um
19,4086.28,1668.648,6.0,5019,4140.496,1651.58,30.0,61.6984,False,False,over_20um
20,4164.592,1675.676,24.0,3770,4151.54,1651.58,18.0,28.053,False,False,over_20um
21,4080.256,1676.68,12.0,1469,4136.48,1704.792,6.0,63.146,False,False,over_20um
22,4188.688,1677.684,6.0,3770,4151.54,1651.58,18.0,46.9616,False,False,over_20um
23,4112.384,1687.724,24.0,1469,4136.48,1704.792,6.0,34.5823,False,False,over_20um
24,4086.28,1695.756,6.0,1469,4136.48,1704.792,6.0,51.0068,False,False,over_20um
25,4075.236,1716.84,24.0,1469,4136.48,1704.792,6.0,64.9614,False,False,over_20um
26,4046.12,1706.8,18.0,1469,4136.48,1704.792,6.0,91.1754,False,False,over_20um
27,4151.54,1702.784,6.0,1469,4136.48,1704.792,6.0,15.1933,True,False,10-20um
28,4071.22,1717.844,6.0,1469,4136.48,1704.792,6.0,66.5524,False,False,over_20um
29,4138.488,1721.86,18.0,1469,4136.48,1704.792,6.0,20.9606,False,False,over_20um
30,4095.316,1730.896,24.0,1469,4136.48,1704.792,6.0,51.9605,False,False,over_20um
31,4049.132,1759.008,18.0,1469,4136.48,1704.792,6.0,103.5039,False,False,over_20um
32,4018.008,1757.0,18.0,7434,3936.684,1832.3,6.0,111.4795,False,False,over_20um
33,4080.256,1745.956,6.0,1469,4136.48,1704.792,6.0,69.6822,False,False,over_20um
34,4174.632,1772.06,6.0,1469,4136.48,1704.792,6.0,77.3341,False,False,over_20um
35,4019.012,1777.08,12.0,7434,3936.684,1832.3,6.0,99.3134,False,False,over_20um
36,4038.088,1790.132,6.0,7434,3936.684,1832.3,6.0,109.8222,False,False,over_20um
37,4002.948,1788.124,6.0,7434,3936.684,1832.3,6.0,79.6394,False,False,over_20um
38,4026.04,1789.128,6.0,7434,3936.684,1832.3,6.0,99.2387,False,False,over_20um
39,3989.896,1794.148,24.0,7434,3936.684,1832.3,6.0,67.905,False,False,over_20um
40,4061.18,1797.16,18.0,1469,4136.48,1704.792,6.0,119.7745,False,False,over_20um
41,3886.484,1806.196,6.0,7436,3903.552,1840.332,0.0,38.634,False,False,over_20um
42,3999.936,1805.192,18.0,7434,3936.684,1832.3,6.0,69.8546,False,False,over_20um
43,4041.1,1810.212,6.0,7434,3936.684,1832.3,6.0,106.7267,False,False,over_20um
44,4065.196,1811.216,12.0,1469,4136.48,1704.792,6.0,128.2321,False,False,over_20um
45,4029.052,1815.232,24.0,7434,3936.684,1832.3,6.0,95.6408,False,False,over_20um
46,4008.972,1829.288,30.0,7434,3936.684,1832.3,6.0,76.2275,False,False,over_20um
47,4040.096,1821.256,6.0,7434,3936.684,1832.3,6.0,104.0001,False,False,over_20um
48,3978.852,1847.36,24.0,7434,3936.684,1832.3,6.0,48.2591,False,False,over_20um
49,4030.056,1831.296,12.0,7434,3936.684,1832.3,6.0,93.57,False,False,over_20um
50,4085.276,1830.292,6.0,21,4153.548,1942.74,0.0,131.6876,False,False,over_20um
51,3877.448,1857.4,18.0,3781,3879.456,1885.512,24.0,28.8152,False,False,over_20um
52,3864.396,1844.348,12.0,15,3865.4,1879.488,0.0,37.146,False,False,over_20um
53,4017.004,1840.332,12.0,7434,3936.684,1832.3,6.0,80.9433,False,False,over_20um
54,3735.884,1876.476,18.0,1478,3737.892,1901.576,18.0,25.1802,False,False,over_20um
55,3912.588,1856.396,6.0,7436,3903.552,1840.332,0.0,19.383,True,False,10-20um
56,3833.272,1860.412,6.0,15,3865.4,1879.488,0.0,37.8431,False,False,over_20um
57,3845.32,1861.416,24.0,5040,3819.216,1879.488,36.0,33.9414,False,False,over_20um
58,3959.776,1864.428,6.0,7434,3936.684,1832.3,6.0,39.5658,False,False,over_20um
59,3981.864,1872.46,6.0,7434,3936.684,1832.3,6.0,60.4488,False,False,over_20um
60,3944.716,1869.448,6.0,7434,3936.684,1832.3,6.0,38.0064,False,False,over_20um
61,3717.812,2263.016,24.0,126,3714.8,2273.056,18.0,12.0778,True,False,10-20um
62,3753.956,1882.5,12.0,1478,3737.892,1901.576,18.0,25.6505,False,False,over_20um
63,3774.036,1882.5,6.0,1478,3737.892,1901.576,18.0,42.5944,False,False,over_20um
64,3798.132,1886.516,6.0,5045,3807.168,1907.6,24.0,29.1579,False,False,over_20um
65,4062.184,1884.508,6.0,2614,4120.416,1965.832,18.0,100.7401,False,False,over_20um
66,3827.248,1885.512,6.0,5040,3819.216,1879.488,36.0,31.6354,False,False,over_20um
67,3960.78,1889.528,6.0,7434,3936.684,1832.3,6.0,62.094,False,False,over_20um
68,3813.192,1891.536,6.0,5045,3807.168,1907.6,24.0,24.8665,False,False,over_20um
69,3267.016,1893.544,6.0,1483,3302.156,1923.664,12.0,46.6694,False,False,over_20um
70,3778.052,1898.564,18.0,5045,3807.168,1907.6,24.0,31.0707,False,False,over_20um
71,3940.7,1899.568,18.0,6195,3917.608,1845.352,36.0,61.6167,False,False,over_20um
72,4053.148,1896.556,12.0,2614,4120.416,1965.832,18.0,96.7479,False,False,over_20um
73,3422.636,1896.556,6.0,1483,3302.156,1923.664,12.0,123.6377,False,False,over_20um
74,3431.672,1908.604,24.0,1483,3302.156,1923.664,12.0,130.9397,False,False,over_20um
75,3252.96,1897.56,6.0,1483,3302.156,1923.664,12.0,56.0149,False,False,over_20um
76,3445.728,1897.56,6.0,1493,3530.064,2006.996,12.0,138.2924,False,False,over_20um
